Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.9,36360885946,1972,18438583.1,32766.0,2235,4173987916,115856723.0,cudaMemcpyAsync
14.0,7741381973,3034,2551543.2,41474.0,4759,208018361,8812638.4,cudaDeviceSynchronize
10.9,6027629009,831,7253464.5,346281.0,4198,132698052,23579487.3,cudaStreamSynchronize
4.3,2391449627,79653,30023.3,8487.0,671,254860344,1683456.8,cudaLaunchKernel
1.2,661354731,59062,11197.6,9349.0,581,1822665,15312.5,cuLaunchKernel
1.2,658738796,1978,333032.8,126962.0,38328,17613741,1064448.8,cudaGraphInstantiateWithFlags
0.6,316047027,430,734993.1,457800.5,6162,40565162,2611915.3,cudaMalloc
0.6,304797362,40657,7496.8,5591.0,3487,2014894,17863.6,cudaEventRecordWithFlags
0.2,125874835,308,408684.5,269555.0,182209,7032698,442750.4,cudaFree
0.2,100978681,278,363232.7,167138.0,68027,3459244,450519.4,cuModuleLoad
0.2,94903524,169,561559.3,657309.0,39079,1979492,378528.5,cudaGraphLaunch
0.1,76092079,9942,7653.6,1793.0,160,4258192,47920.7,cudaMemsetAsync
0.1,65828980,10,6582898.0,4597860.5,139622,14538052,4863673.6,cuLibraryLoadData
0.1,63862766,40542,1575.2,942.0,261,119689,3743.8,cudaEventQuery
0.1,61637327,40562,1519.6,982.0,200,2127792,10989.4,cudaEventCreateWithFlags
0.1,29911635,40543,737.8,521.0,260,120093,1646.0,cudaEventDestroy
0.0,27061467,43341,624.4,321.0,251,1123852,5683.7,cudaStreamIsCapturing
0.0,22255924,32909,676.3,491.0,230,212710,2158.3,cudaStreamGetCaptureInfo_v2
0.0,20659941,3586,5761.3,701.0,170,10613427,200869.6,cuKernelGetFunction
0.0,17009872,1978,8599.5,3908.0,2205,796781,32178.9,cudaGraphDestroy
0.0,9300060,1978,4701.7,3442.0,2555,452905,10695.6,cudaStreamBeginCapture
0.0,5382618,128,42051.7,962.0,521,1501797,216462.0,cudaStreamCreateWithPriority
0.0,5210560,1978,2634.3,1803.5,1233,74040,4838.9,cudaStreamEndCapture
0.0,3725402,1,3725402.0,3725402.0,3725402,3725402,0.0,cudaHostAlloc
0.0,3612644,8,451580.5,243823.0,72637,1352004,501262.4,cudaMemGetInfo
0.0,2148610,1978,1086.3,671.0,501,266408,6290.7,cudaGraphGetNodes
0.0,2016789,114,17691.1,12640.5,6133,196999,19022.3,cudaEventSynchronize
0.0,1729647,18,96091.5,50146.5,2536,799076,182427.8,cuLibraryGetKernel
0.0,1118888,838,1335.2,181.0,70,331089,12655.0,cuGetProcAddress_v2
0.0,106075,1,106075.0,106075.0,106075,106075,0.0,cudaStreamWaitEvent
0.0,75573,3,25191.0,672.0,441,74460,42668.4,cuModuleGetLoadingMode
0.0,66846,4,16711.5,5491.5,5210,50653,22628.2,cuInit
0.0,33046,1,33046.0,33046.0,33046,33046,0.0,cudaGetDeviceProperties
0.0,29248,14,2089.1,1277.0,290,15772,3964.0,cudaThreadExchangeStreamCaptureMode
0.0,7725,2,3862.5,3862.5,781,6944,4357.9,cudaGetDriverEntryPoint
