Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.6,36157418183,1972,18335404.8,35847.5,2865,5516403292,139767789.7,cudaMemcpyAsync
14.3,7859199787,3034,2590375.7,38994.0,5131,227411628,9091538.9,cudaDeviceSynchronize
11.1,6090506892,831,7329129.8,373686.0,4058,138470136,24079135.1,cudaStreamSynchronize
4.1,2280258000,79506,28680.3,8417.0,691,289600915,1601635.5,cudaLaunchKernel
1.1,620011416,58858,10534.0,9088.0,571,1629153,16144.5,cuLaunchKernel
1.1,599196636,1978,302930.6,123565.0,33397,19304802,973514.0,cudaGraphInstantiateWithFlags
0.7,409285674,430,951827.1,462050.5,8547,62787746,4292947.2,cudaMalloc
0.6,314838250,40587,7757.1,5521.0,3537,2922888,22220.2,cudaEventRecordWithFlags
0.2,131498007,308,426941.6,278097.0,182870,8043348,497091.2,cudaFree
0.2,125715088,278,452212.5,223872.5,67787,3970916,506600.8,cuModuleLoad
0.2,94336951,198,476449.2,629738.0,36744,3220981,419808.8,cudaGraphLaunch
0.1,67840170,9858,6881.7,1793.0,151,1102018,16801.2,cudaMemsetAsync
0.1,62717574,10,6271757.4,4757481.5,202590,10555426,3814580.6,cuLibraryLoadData
0.1,61056041,40492,1507.9,992.0,200,2049623,10563.9,cudaEventCreateWithFlags
0.1,55613873,40472,1374.1,812.0,270,169623,3458.1,cudaEventQuery
0.1,32102704,40473,793.2,511.0,250,781751,6269.9,cudaEventDestroy
0.1,27598699,43300,637.4,341.0,261,1406884,6942.2,cudaStreamIsCapturing
0.0,21229144,32909,645.1,481.0,220,202500,2082.6,cudaStreamGetCaptureInfo_v2
0.0,18137945,3586,5058.0,701.0,190,11194879,191779.3,cuKernelGetFunction
0.0,15910015,1978,8043.5,3707.0,2064,783193,30038.7,cudaGraphDestroy
0.0,8703822,1978,4400.3,3231.5,2535,510341,11844.0,cudaStreamBeginCapture
0.0,5933931,128,46358.8,1192.5,692,1749286,238193.0,cudaStreamCreateWithPriority
0.0,4785437,1978,2419.3,1664.0,1212,57807,4128.0,cudaStreamEndCapture
0.0,4727596,1,4727596.0,4727596.0,4727596,4727596,0.0,cudaHostAlloc
0.0,2693664,8,336708.0,196753.0,76585,1193913,379543.4,cudaMemGetInfo
0.0,2357304,18,130961.3,45772.5,2906,926753,220502.4,cuLibraryGetKernel
0.0,1914092,1978,967.7,651.0,481,271790,6163.0,cudaGraphGetNodes
0.0,1742117,838,2078.9,190.0,70,409989,19953.5,cuGetProcAddress_v2
0.0,1699907,114,14911.5,11192.5,7335,216367,20223.8,cudaEventSynchronize
0.0,369818,4,92454.5,4419.0,2756,358224,177181.4,cuInit
0.0,356081,3,118693.7,912.0,341,354828,204498.5,cuModuleGetLoadingMode
0.0,45642,1,45642.0,45642.0,45642,45642,0.0,cudaGetDeviceProperties
0.0,42086,1,42086.0,42086.0,42086,42086,0.0,cudaStreamWaitEvent
0.0,17717,14,1265.5,1408.0,381,2646,735.5,cudaThreadExchangeStreamCaptureMode
0.0,7626,2,3813.0,3813.0,702,6924,4399.6,cudaGetDriverEntryPoint
